,Expected Loss,Std Dev,P(Zero Loss),VaR 95%,VaR 99%,TVaR 95%,TVaR 99%,Ruin Prob (K=$10k)
Base,4505.016379795507,5379.402702379822,0.0,14226.282646367212,25369.617589081587,21592.51261455993,35444.053893865945,0.10455
Higher Freq (x1.3),5302.385449681181,5987.524716009521,0.0,16401.482026996222,28277.862986419375,24131.403767531923,38202.1460833463,0.14264
Higher Sev (x1.3),5881.594807110659,6957.561620118266,0.0,18601.443467020148,33367.93535391571,28145.17453469734,45824.415895239275,0.16678
"Cat Year (freq x1.1, sev x1.5)",7132.494072023368,8352.60142424477,0.0,22355.40866552177,40202.65300679447,33765.4585218036,54695.69063467076,0.22227
